identifier,filename,clipId,start,end
ATMA,split_17_2020-06-03_05_41_07.wav,17,1178737,1226737
ATMA,split_18_2020-06-03_05_41_07.wav,18,1251456,1299456
ATMA,split_19_2020-06-03_05_41_07.wav,19,1346237,1394237
ATMA,split_20_2020-06-03_05_41_07.wav,20,1361860,1409860
ATMA,split_21_2020-06-03_05_41_07.wav,21,1391089,1439089
ATMA,split_22_2020-06-03_05_41_07.wav,22,1457530,1505530
ATMA,split_23_2020-06-03_05_41_07.wav,23,1486433,1534433
ATMA,split_24_2020-06-03_05_41_07.wav,24,1565818,1613818
ATMA,split_25_2020-06-03_05_41_07.wav,25,1584312,1632312
ATMA,split_26_2020-06-03_05_41_07.wav,26,1663850,1711850
ATMA,split_27_2020-06-03_05_41_07.wav,27,1767387,1815387
ATMA,split_28_2020-06-03_05_41_07.wav,28,1796788,1844788
ATMA,split_29_2020-06-03_05_41_07.wav,29,1848712,1896712
ATMA,split_30_2020-06-03_05_41_07.wav,30,1877445,1925445
ATMA,split_31_2020-06-03_05_41_07.wav,31,1942848,1990848
ATMA,split_32_2020-06-03_05_41_07.wav,32,2004700,2052700
ATMA,split_33_2020-06-03_05_41_07.wav,33,2038651,2086651
ATMA,split_34_2020-06-03_05_41_07.wav,34,2084993,2132993
ATMA,split_35_2020-06-03_05_41_07.wav,35,2114115,2162115
ATMA,split_36_2020-06-03_05_41_07.wav,36,2139506,2187506
ATMA,split_37_2020-06-03_05_41_07.wav,37,2153780,2201780
ATMA,split_38_2020-06-03_05_41_07.wav,38,2190441,2238441
ATMA,split_39_2020-06-03_05_41_07.wav,39,2288467,2336467
ATMA,split_40_2020-06-03_05_41_07.wav,40,2320297,2368297
ATMA,split_41_2020-06-03_05_41_07.wav,41,2368165,2416165
ATMA,split_0_2020-06-03_05_41_22.wav,0,39842,87842
ATMA,split_1_2020-06-03_05_41_22.wav,1,97682,145682
ATMA,split_2_2020-06-03_05_41_22.wav,2,203890,251890
ATMA,split_3_2020-06-03_05_41_22.wav,3,236012,284012
ATMA,split_4_2020-06-03_05_41_22.wav,4,243546,291546
ATMA,split_5_2020-06-03_05_41_22.wav,5,272984,320984
ATMA,split_6_2020-06-03_05_41_22.wav,6,312867,360867
ATMA,split_7_2020-06-03_05_41_22.wav,7,338131,386131
ATMA,split_8_2020-06-03_05_41_22.wav,8,463844,511844
ATMA,split_9_2020-06-03_05_41_22.wav,9,489772,537772
ATMA,split_10_2020-06-03_05_41_22.wav,10,540149,588149
ATMA,split_11_2020-06-03_05_41_22.wav,11,579920,627920
ATMA,split_12_2020-06-03_05_41_22.wav,12,665093,713093
ATMA,split_13_2020-06-03_05_41_22.wav,13,685163,733163
ATMA,split_14_2020-06-03_05_41_22.wav,14,701013,749013
ATMA,split_15_2020-06-03_05_41_22.wav,15,744566,792566
ATMA,split_16_2020-06-03_05_41_22.wav,16,773796,821796
ATMA,split_17_2020-06-03_05_41_22.wav,17,805254,853254
ATMA,split_18_2020-06-03_05_41_22.wav,18,826126,874126
ATMA,split_19_2020-06-03_05_41_22.wav,19,879594,927594
ATMA,split_20_2020-06-03_05_41_22.wav,20,944331,992331
ATMA,split_21_2020-06-03_05_41_22.wav,21,996167,1044167
ATMA,split_22_2020-06-03_05_41_22.wav,22,1032207,1080207
ATMA,split_23_2020-06-03_05_41_22.wav,23,1056976,1104976
ATMA,split_24_2020-06-03_05_41_22.wav,24,1119342,1167342
ATMA,split_25_2020-06-03_05_41_22.wav,25,1176827,1224827
ATMA,split_26_2020-06-03_05_41_22.wav,26,1192709,1240709
ATMA,split_27_2020-06-03_05_41_22.wav,27,1229832,1277832
